VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01-01-2020 00:28,01-01-2020 00:33,1,1.2,1,N,238,239,1,6,3,0.5,1.47,0,0.3,11.27,2.5
1,01-01-2020 00:35,01-01-2020 00:43,1,1.2,1,N,239,238,1,7,3,0.5,1.5,0,0.3,12.3,2.5
1,01-01-2020 00:47,01-01-2020 00:53,1,0.6,1,N,238,238,1,6,3,0.5,1,0,0.3,10.8,2.5
1,01-01-2020 00:55,01-01-2020 01:00,1,0.8,1,N,238,151,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0
2,01-01-2020 00:01,01-01-2020 00:04,1,0,1,N,193,193,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,01-01-2020 00:09,01-01-2020 00:10,1,0.03,1,N,7,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01-01-2020 00:39,01-01-2020 00:39,1,0,1,N,193,193,1,2.5,0.5,0.5,0.01,0,0.3,3.81,0
2,18-12-2019 15:27,18-12-2019 15:28,1,0,5,N,193,193,1,0.01,0,0,0,0,0.3,2.81,2.5
2,18-12-2019 15:30,18-12-2019 15:31,4,0,1,N,193,193,1,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01-01-2020 00:29,01-01-2020 00:40,2,0.7,1,N,246,48,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,01-01-2020 00:55,01-01-2020 01:12,2,2.4,1,N,246,79,1,12,3,0.5,1.75,0,0.3,17.55,2.5
1,01-01-2020 00:37,01-01-2020 00:51,1,0.8,1,N,163,161,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,01-01-2020 00:56,01-01-2020 01:21,1,3.3,1,N,161,144,1,17,3,0.5,4.15,0,0.3,24.95,2.5
2,01-01-2020 00:21,01-01-2020 00:27,1,1.07,1,N,43,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,01-01-2020 00:38,01-01-2020 01:15,1,7.76,1,N,143,25,1,28.5,0.5,0.5,4.84,0,0.3,37.14,2.5
1,01-01-2020 00:15,01-01-2020 00:27,3,1.6,1,N,211,234,2,9,3,0.5,0,0,0.3,12.8,2.5
1,01-01-2020 00:41,01-01-2020 00:44,1,0.5,1,Y,234,90,1,4,3,0.5,1,0,0.3,8.8,2.5
1,01-01-2020 00:56,01-01-2020 01:13,1,1.7,1,N,246,142,2,11.5,3,0.5,0,0,0.3,15.3,2.5
2,01-01-2020 00:08,01-01-2020 00:25,1,8.45,1,N,138,216,2,24.5,0.5,0.5,0,0,0.3,25.8,0
1,01-01-2020 00:25,01-01-2020 00:27,1,0,1,N,170,162,4,3,3,0.5,0,0,0.3,6.8,2.5
1,01-01-2020 00:28,01-01-2020 00:41,1,1.5,1,N,170,161,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,01-01-2020 00:49,01-01-2020 01:17,1,2.9,1,N,161,262,1,19,3,0.5,4.55,0,0.3,27.35,2.5
1,01-01-2020 00:23,01-01-2020 00:38,1,1.9,1,N,236,162,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
1,01-01-2020 00:56,01-01-2020 01:19,1,4.2,1,N,50,261,1,18,3,0.5,4.35,0,0.3,26.15,2.5
1,01-01-2020 00:28,01-01-2020 00:35,2,1.5,1,N,142,236,1,7.5,3,0.5,2.8,0,0.3,14.1,2.5
1,01-01-2020 00:48,01-01-2020 00:53,1,0.6,1,N,237,141,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
2,01-01-2020 00:13,01-01-2020 00:40,1,5.73,1,N,246,112,2,21,0.5,0.5,0,6.12,0.3,30.92,2.5
2,01-01-2020 00:19,01-01-2020 00:28,1,2.12,1,N,24,236,1,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01-01-2020 00:31,01-01-2020 00:37,2,0.93,1,N,236,262,1,5.5,0.5,0.5,2.32,0,0.3,11.62,2.5
1,01-01-2020 00:29,01-01-2020 01:03,2,5.7,1,N,234,238,1,25.5,3,0.5,5.85,0,0.3,35.15,2.5
1,01-01-2020 00:03,01-01-2020 00:09,1,1.2,1,N,232,79,2,6.5,3,0.5,0,0,0.3,10.3,2.5
